UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,AK,2004,1,4240,21827,0,5616,29915,0,1043,8086,0,,,0,10899,59829,0
213,Alaska Electric Light&Power Co,AK,2004,1,1430,14545,13190,871,11049,2088,353,4695,99,0,0,0,2654,30289,15377
219,Alaska Power Co,AK,2004,1,492,2303,4247,668,3178,1851,,,,,,,1160,5481,6098
599,Anchorage Municipal Light and Power,AK,2004,1,1963,17813,23688,6711,75668,6016,,,,,,,8674,93481,29704
653,Andreanof Electric Corp,AK,2004,1,5,10,27,8,17,9,,,,,,,13,27,36
1651,Bethel Utilities Corp,AK,2004,1,351,1169,1551,731,2842,995,,,,,,,1082,4011,2546
3465,Chitina Electric Inc,AK,2004,1,5,14,33,8,27,27,,,,,,,13,41,60
3522,Chugach Electric Assn Inc,AK,2004,1,6968,63872,66738,4880,56335,8293,214,2993,6,,,,12062,123200,75037
4959,Aniak Light & Power Co Inc,AK,2004,1,47,98,180,53,123,43,,,,,,,100,221,223
5553,Egegik Light & Power Co,AK,2004,1,5,9,44,15,27,40,,,,,,,20,36,84
6111,Central Electric Inc,AK,2004,1,11,20,123,13,27,18,,,,,,,24,47,141
7353,Golden Valley Elec Assn Inc,AK,2004,1,4016,38744,33593,1456,15072,5572,4670,61914,412,,,,10142,115730,39577
7822,Gustavus Electric Inc,AK,2004,1,41,78,371,23,48,106,,,,,,,64,126,477
7833,Gwitchyaa Zhee Utility Co,AK,2004,1,39,127,255,42,152,80,21,44,6,,,,102,323,341
9000,Hughes Power and Light Co,AK,2004,1,3,6,29,6,11,14,,,,,,,9,17,43
9832,Kuiggluum Kallugvia,AK,2004,1,23,51,158,16,48,15,,,,,,,39,99,173
10210,Ketchikan Public Utilities,AK,2004,1,621,6706,5619,546,6349,1592,119,1837,14,,,,1286,14892,7225
10433,Kodiak Electric Assn Inc,AK,2004,1,491,3098,4560,288,1890,1061,902,6284,92,,,,1681,11272,5713
10451,Kotzebue Electric Assn Inc,AK,2004,1,212,837,1122,259,1097,115,,,,,,,471,1934,1237
11591,Manley Utility Co,AK,2004,1,9,12,71,9,13,15,,,,,,,18,25,86
11824,Matanuska Electric Assn Inc,AK,2004,1,4407,45969,42360,1508,19216,3014,,,,,,,5915,65185,45374
12119,McGrath Light and Power Co,AK,2004,1,29,76,170,53,173,80,,,,,,,82,249,250
13211,Napakiak Ircinraq Power Co,AK,2004,1,25,38,93,10,17,22,,,,,,,35,55,115
18474,Tanana Power Co Inc,AK,2004,1,29,53,159,33,76,17,,,,0,0,0,62,129,176
19277,TDX North Slope Generating Co,AK,2004,1,,,,267,2348,54,,,,,,,267,2348,54
19558,Homer Electric Assn Inc,AK,2004,1,1838,18107,21743,1444,16253,3431,436,10486,29,0,0,0,3718,44846,25203
26754,Paxson Inn and Lodge,AK,2004,1,0,1,1,5,20,6,,,,,,,5,21,7
29297,Pelican Utility District,AK,2004,1,6,41,78,6,38,77,9,65,21,,,,21,144,176
88888,Total EPM,AK,2004,1,27306,235624,0,25545,242029,0,7767,96404,0,,,0,60618,574058,0
0,State Level Adjustment,AL,2004,1,67967,915681,0,27115,372113,0,15175,347288,0,,,0,110257,1635082,0
195,Alabama Power Co,AL,2004,1,118883,1743244,1162239,76042,1094467,205490,68316,1757386,5057,,,,263241,4595097,1372786
4958,Decatur Utilities,AL,2004,1,2234,37678,22644,1575,23331,3762,2513,58348,20,,,,6322,119357,26426
6422,Florence City of,AL,2004,1,4461,66622,38004,743,9381,6824,2118,32889,678,,,,7322,108892,45506
9094,Huntsville City of,AL,2004,1,14749,230688,123644,7974,126273,17861,4185,80487,103,,,,26908,437448,141608
9739,Joe Wheeler Elec Member Corp,AL,2004,1,4662,62842,33144,1715,20202,7769,1486,29416,18,,,,7863,112460,40931
17252,Singing River Elec Pwr Assn,AL,2004,1,27,381,239,4,47,14,0,0,0,0,0,0,31,428,253
18642,Tennessee Valley Authority,AL,2004,1,,,,,,,16717,512849,22,,,,16717,512849,22
88888,Total EPM,AL,2004,1,212983,3057136,0,115168,1645814,0,110510,2818663,0,,,0,438661,7521613,0
0,State Level Adjustment,AR,2004,1,24024,376782,0,9809,170024,0,19885,563847,0,,,0,53717,1110653,0
814,Entergy Arkansas Inc,AR,2004,1,46164,676020,558844,23302,440141,81608,23022,561395,20576,,,,92488,1677556,661028
817,Arkansas Valley Elec Coop Corp,AR,2004,1,4135,61167,45204,565,9346,3082,713,15039,12,0,0,0,5413,85552,48298
3093,Carroll Electric Coop Corp,AR,2004,1,5255,84256,58311,985,18534,4217,568,18031,10,0,0,0,6808,120821,62538
5860,Empire District Electric Co,AR,2004,1,231,3735,3204,144,2607,721,202,5654,9,0,0,0,577,11996,3934
6342,First Electric Coop Corp,AR,2004,1,6776,96541,69145,860,11561,4156,769,25553,489,0,0,0,8405,133655,73790
14063,Oklahoma Gas & Electric Co,AR,2004,1,3457,63422,51759,2148,53624,9426,2784,86484,422,0,0,0,8389,203530,61607
17698,Southwestern Electric Power Co,AR,2004,1,4845,95951,89281,3846,96073,16074,3569,118060,848,,,,12260,310084,106203
88888,Total EPM,AR,2004,1,94887,1457874,0,41659,801910,0,51512,1394063,0,,,0,188057,3653847,0
0,State Level Adjustment,AZ,2004,1,7369,88786,0,6776,142721,0,3854,102257,0,,,0,17998,333764,0
176,Ajo Improvement Co,AZ,2004,1,36,286,832,32,354,136,27,236,54,,,,95,876,1022
803,Arizona Public Service Co,AZ,2004,1,68511,896143,853585,56771,801270,101553,9082,168024,3699,0,0,0,134364,1865437,958837
12919,Morenci Water and Electric Co,AZ,2004,1,104,937,1633,107,1044,238,6274,136529,1,0,0,0,6485,138510,1872
13314,Navajo Tribal Utility Authority,AZ,2004,1,1299,17873,26714,1315,17558,3150,1156,21986,4,0,0,0,3770,57417,29868
16572,Salt River Project,AZ,2004,1,50598,807333,747308,39733,687464,76553,8675,232495,43,,,,99006,1727292,823904
19189,Trico Electric Cooperative Inc,AZ,2004,1,2163,22952,27510,907,9299,1325,249,2962,51,,,,3319,35213,28886
19728,"UNS Electric, Inc",AZ,2004,1,5615,55782,69335,4038,40254,12337,1014,13791,10,,,,10667,109827,81682
21538,"Mohave Electric Cooperative, Inc",AZ,2004,1,1977,21820,29648,1027,14265,3421,838,27172,23,,,,3842,63257,33092
24211,Tucson Electric Power Co,AZ,2004,1,19696,252376,335074,12518,134575,32473,15410,218145,676,,,,47624,605096,368223
88888,Total EPM,AZ,2004,1,157368,2164288,0,123224,1848804,0,46579,923597,0,,,0,327170,4936689,0
0,State Level Adjustment,CA,2004,1,36059,351192,0,147014,1792387,0,110987,1447752,0,,,0,295868,3630151,0
4390,City of Corona,CA,2004,1,,,,54,560,35,33,384,2,0,0,0,87,944,37
9216,Imperial Irrigation District,CA,2004,1,8969,82437,97116,12363,113549,16693,799,6215,1583,,,,22131,202201,115392
11208,Los Angeles City of,CA,2004,1,63806,625591,1228437,106815,1181443,183407,15565,185900,14832,1139,13288,2,187325,2006222,1426678
12745,Modesto Irrigation District,CA,2004,1,7008,76641,89255,4649,61095,14094,2488,50151,236,,,,14145,187887,103585
14328,Pacific Gas & Electric Co,CA,2004,1,360974,2726768,4291357,304782,2441529,609844,68218,669814,1038,10,104,1,733984,5838215,4902240
