UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
0,State Level Adjustment,AK,2006,1,4505,21935,0,6801,28853,0,1284,11667,0,,,0,12590,62454,0
213,Alaska Electric Light&Power Co,AK,2006,1,1424,13941,13422,961,11573,2086,349,4532,98,0,0,0,2734,30046,15606
219,Alaska Power Co,AK,2006,1,603,2288,4345,823,3487,1956,0,0,0,0,0,0,1426,5775,6301
599,Anchorage Municipal Light and Power,AK,2006,1,1643,16217,23865,6649,90110,6112,0,0,0,0,0,0,8292,106327,29977
1651,Bethel Utilities Corp,AK,2006,1,357,1028,1581,829,2681,1131,0,0,0,0,0,0,1186,3709,2712
3522,Chugach Electric Assn Inc,AK,2006,1,7675,60443,68848,5944,57819,8666,259,2875,5,0,0,0,13878,121137,77519
7353,Golden Valley Elec Assn Inc,AK,2006,1,5312,36244,35279,2083,15097,5854,7529,64944,467,0,0,0,14924,116285,41600
10210,Ketchikan Public Utilities,AK,2006,1,601,6246,6097,532,6082,1116,114,1559,14,0,0,0,1247,13887,7227
10433,Kodiak Electric Assn Inc,AK,2006,1,551,3290,4619,322,1994,1085,1002,6634,91,0,0,0,1875,11918,5795
10451,Kotzebue Electric Assn Inc,AK,2006,1,389,1266,1228,276,951,32,0,0,0,0,0,0,665,2217,1260
11824,Matanuska Electric Assn Inc,AK,2006,1,5378,44841,47277,2254,22383,3230,0,0,0,0,0,0,7632,67224,50507
19277,TDX North Slope Generating Co,AK,2006,1,,,,334,2647,56,,,,,,,334,2647,56
19558,Homer Electric Assn Inc,AK,2006,1,2182,17247,22839,1686,14901,3475,645,11590,27,,,,4513,43738,26341
88888,Total EPM,AK,2006,1,30620,224986,0,29494,258578,0,11182,103801,0,,,0,71296,587364,0
0,State Level Adjustment,AL,2006,1,71863,838852,0,31304,381770,0,18591,345923,0,,,0,121759,1566545,0
195,Alabama Power Co,AL,2006,1,119383,1595312,1184733,76962,1057893,213231,69122,1808162,5495,0,0,0,265467,4461367,1403459
4958,Decatur Utilities,AL,2006,1,1927,31549,22487,1717,25753,3828,2834,64652,21,0,0,0,6478,121954,26336
6422,Florence City of,AL,2006,1,4634,65082,38603,750,8965,6812,2413,37213,723,0,0,0,7797,111260,46138
9094,Huntsville City of,AL,2006,1,15636,230260,130174,8620,127077,18467,4379,77698,102,,,,28635,435035,148743
9739,Joe Wheeler Elec Member Corp,AL,2006,1,4772,60715,33754,1890,20857,7812,1623,32750,21,,,,8284,114322,41587
17252,Singing River Elec Pwr Assn,AL,2006,1,32,337,257,7,79,14,0,0,0,0,0,0,39,416,271
18642,Tennessee Valley Authority,AL,2006,1,,,,,,,19320,539547,22,,,,19320,539547,22
88888,Total EPM,AL,2006,1,218247,2822107,0,121250,1622394,0,118282,2905945,0,,,0,457779,7350446,0
0,State Level Adjustment,AR,2006,1,35133,424184,0,13736,197792,0,23996,525813,0,,,0,72865,1147789,0
814,Entergy Arkansas Inc,AR,2006,1,54993,706895,574998,29170,469704,86335,30875,619058,20579,0,0,0,115038,1795657,681912
817,Arkansas Valley Elec Coop Corp,AR,2006,1,6060,62472,46995,884,10473,3256,1013,22345,12,0,0,0,7957,95290,50263
3093,Carroll Electric Coop Corp,AR,2006,1,7456,77492,64868,1804,22438,4504,1103,18786,12,0,0,0,10363,118716,69384
5860,Empire District Electric Co,AR,2006,1,283,3284,3400,183,2365,741,337,5736,9,0,0,0,803,11385,4150
6342,First Electric Coop Corp,AR,2006,1,10568,94088,72837,1347,11640,4547,2094,29501,448,0,0,0,14009,135229,77832
14063,Oklahoma Gas & Electric Co,AR,2006,1,4669,61869,52576,4070,62993,9688,6083,100202,447,0,0,0,14822,225064,62711
17698,Southwestern Electric Power Co,AR,2006,1,4941,92488,93478,3962,93870,16386,3701,119264,827,0,0,0,12604,305622,110691
88888,Total EPM,AR,2006,1,124103,1522772,0,55156,871275,0,69202,1440705,0,,,0,248461,3834752,0
0,State Level Adjustment,AZ,2006,1,10077,97599,0,9334,153090,0,4584,115734,0,,,0,23996,366423,0
176,Ajo Improvement Co,AZ,2006,1,38,303,835,42,436,181,23,201,1,0,0,0,103,940,1017
803,Arizona Public Service Co,AZ,2006,1,76315,931016,927364,66548,880115,109100,10051,162493,3822,0,0,0,152914,1973624,1040286
12919,Morenci Water and Electric,AZ,2006,1,113,1023,1765,143,1332,261,6921,134938,1,0,0,0,7177,137293,2027
13314,Navajo Tribal Utility Authority,AZ,2006,1,1266,17264,25811,1444,17643,3238,1134,19427,6,0,0,0,3844,54334,29055
16572,Salt River Project,AZ,2006,1,62358,859919,809167,46068,759300,82842,10035,256774,46,,,,118461,1875993,892055
19189,Trico Electric Cooperative Inc,AZ,2006,1,2686,24018,32094,1028,9670,1475,355,4755,50,,,,4069,38443,33619
19728,"UNS Electric, Inc",AZ,2006,1,6009,59831,76454,4117,42450,13157,1385,16881,8,,,,11511,119162,89619
21538,"Mohave Electric Cooperative, Inc",AZ,2006,1,2560,22823,33414,1431,15202,3700,374,23196,25,0,0,0,4365,61221,37139
24211,Tucson Electric Power Co,AZ,2006,1,21762,260613,351317,13944,141731,33624,15797,251199,675,,,,51503,653543,385616
25866,Ak-Chin Electric Utility Authority,AZ,2006,1,17,200,260,95,1344,70,2,35,45,,,,114,1579,375
88888,Total EPM,AZ,2006,1,183201,2274609,0,144194,2022313,0,50661,985633,0,,,0,378057,5282555,0
0,State Level Adjustment,CA,2006,1,43469,379072,0,162182,1541268,0,157428,1634370,0,,,0,364024,3584554,0
4390,City of Corona,CA,2006,1,17,120,230,232,2303,164,183,2138,8,0,0,0,432,4561,402
9216,Imperial Irrigation District,CA,2006,1,9608,90863,110788,12995,119591,17812,736,5430,915,,,,23339,215884,129515
11208,Los Angeles City of,CA,2006,1,63874,624838,1239997,106060,1135480,187666,18339,207038,13963,1076,12438,330,189349,1979794,1441956
12745,Modesto Irrigation District,CA,2006,1,9221,81279,93250,6560,70821,14880,3954,66214,255,0,0,0,19735,218314,108385
14328,Pacific Gas & Electric Co,CA,2006,1,374641,2743594,4512458,284455,2563176,621295,70803,793835,1035,0,0,0,729899,6100605,5134788
14354,PacifiCorp,CA,2006,1,3106,38053,34662,2011,23591,7558,314,4356,1939,0,0,0,5431,66000,44159
14534,City of Pasadena,CA,2006,1,3383,29187,52419,7209,68812,8959,0,0,0,23,187,4,10615,98186,61382
16534,Sacramento Municipal Util Dist,CA,2006,1,42800,419795,514434,5976,56515,52067,31846,372290,12507,225,2777,126,80847,851377,579134
16609,San Diego Gas & Electric Co,CA,2006,1,104151,675826,1189397,73399,542605,142928,16712,181517,480,806,8000,3,195068,1407948,1332808
16612,San Francisco City & County of,CA,2006,1,0,0,0,4317,55371,5,64,942,1,329,8771,1,4710,65084,7
17166,Sierra Pacific Power Co,CA,2006,1,3440,30088,39438,1738,15490,5074,1283,14863,44,,,,6461,60441,44556
17609,Southern California Edison Co,CA,2006,1,336259,2442066,4136300,312033,2993616,546311,61039,673053,36755,488,5233,55,709819,6113968,4719421
17612,Southern California Water Co,CA,2006,1,1816,8220,21451,957,4369,1520,572,4261,4,,,,3345,16850,22975
18260,Surprise Valley Electrification Corp.,CA,2006,1,245,3632,2716,53,740,791,26,386,719,0,0,0,324,4758,4226
19281,Turlock Irrigation District,CA,2006,1,5810,59318,69862,1705,21753,22405,3904,61012,3116,0,0,0,11419,142083,95383
19840,"Valley Electric Assn, Inc",CA,2006,1,2,14,14,,,,0,2,29,,,,2,16,43
27000,Western Area Power Admn.,CA,2006,1,,,,,,,,,,10,5833,1,10,5833,1
88888,Total EPM,CA,2006,1,1001842,7625965,0,981882,9215501,0,367203,4021707,0,,,0,2354829,20936256,0
0,State Level Adjustment,CO,2006,1,25244,291233,0,16683,216701,0,14396,258234,0,,,0,56324,766168,0
3989,Colorado Springs City of,CO,2006,1,9007,112898,178719,8376,120072,24199,4822,83430,217,0,0,0,22205,316400,203135
6604,Fort Collins City of,CO,2006,1,2987,44570,54940,2369,41039,6607,1506,35922,17,,,,6862,121531,61564
9336,Intermountain Rural Elec Assn,CO,2006,1,12971,122714,119445,4215,42976,10328,945,11920,53,,,,18131,177610,129826
10066,K C Electric Association,CO,2006,1,355,3605,3216,434,5329,2287,4,60,749,0,0,0,793,8994,6252
12698,Aquila Inc,CO,2006,1,5849,51343,78943,4655,51508,11457,2780,35841,103,0,0,0,13284,138692,90503
12866,Moon Lake Electric Assn Inc,CO,2006,1,93,1493,1456,182,2901,685,2134,41639,11,0,0,0,2409,46033,2152
15257,"Poudre Valley R  E  A, Inc",CO,2006,1,2778,34494,30175,418,4786,3236,2338,40206,930,,,,5534,79486,34341
15466,Public Service Co of Colorado,CO,2006,1,67179,736957,1093730,75651,1036146,208179,25741,416670,330,158,2062,1,168729,2191835,1302240
16603,"San Luis Valley R E C, Inc",CO,2006,1,740,7567,8317,295,3190,867,27,468,2596,0,0,0,1062,11225,11780
19499,"United Power, Inc",CO,2006,1,4179,44818,48371,3101,40051,9107,450,8341,656,,,,7730,93210,58134
88888,Total EPM,CO,2006,1,131382,1451692,0,116379,1564699,0,55143,932731,0,,,0,303063,3951184,0
0,State Level Adjustment,CT,2006,1,8740,54580,0,7408,61567,0,1527,17733,0,,,0,18090,133881,0
4176,Connecticut Light & Power Co,CT,2006,1,141802,936432,1051202,104254,828775,111142,27882,259198,3910,1547,16232,2,275485,2040637,1166256
7716,Groton Dept of Utilities,CT,2006,1,1581,12149,10429,1395,11821,1469,3283,29760,3,0,0,0,6259,53730,11901
19497,United Illuminating Co,CT,2006,1,29948,209651,290756,25216,218989,30008,6921,68996,1617,0,0,0,62085,497636,322381
20038,Wallingford Town of,CT,2006,1,2157,22791,20827,1903,20882,3522,1006,12497,26,0,0,0,5066,56170,24375
88888,Total EPM,CT,2006,1,184228,1235603,0,140176,1142034,0,40619,388184,0,,,0,366985,2782054,0
88888,Total EPM,DC,2006,1,17248,184740,0,50365,583698,0,3031,22620,0,,,0,72304,812242,0
0,State Level Adjustment,DE,2006,1,3199,17582,0,217,-7528,0,6874,97603,0,,,0,10290,107657,0
5027,Conectiv,DE,2006,1,23594,296400,260335,20454,299698,31695,7659,134605,264,0,0,0,51707,730703,292294
5070,Delaware Electric Cooperative,DE,2006,1,7796,90569,67199,1183,14630,6725,0,0,0,0,0,0,8979,105199,73924
5335,Dover City of,DE,2006,1,1724,16911,17947,1703,19591,3246,1565,23161,39,0,0,0,4992,59663,21232
13519,Newark City of,DE,2006,1,871,7761,9972,663,5954,1346,1425,16015,51,0,0,0,2959,29730,11369
88888,Total EPM,DE,2006,1,37184,429223,0,24220,332345,0,17523,271384,0,,,0,78927,1032952,0
0,State Level Adjustment,FL,2006,1,200509,1942915,0,100454,1072171,0,24889,323043,0,,,0,325853,3338129,0
6452,Florida Power & Light Co,FL,2006,1,484993,4153398,3870447,366046,3546392,478980,26252,317120,19782,845,8225,23,878136,8025135,4369232
6455,Progress Energy Florida,FL,2006,1,185285,1573329,1396114,104017,1102011,183020,28136,344867,2696,0,0,0,317438,3020207,1581830
6457,Florida Public Utilities Co,FL,2006,1,2011,31241,23329,1438,26055,4469,383,11820,2,0,0,0,3832,69116,27800
7801,Gulf Power Co,FL,2006,1,32166,392358,355577,17237,250061,53987,7658,154825,296,0,0,0,57061,797244,409860
9617,Jacksonville Electric Authority,FL,2006,1,46352,521839,356158,23635,311660,43162,10153,182413,217,25,366,1,80165,1016278,399538
18454,Tampa Electric Co,FL,2006,1,75335,684312,568763,58667,603911,76679,13919,181381,1351,5,48,1,147926,1469652,646794
88888,Total EPM,FL,2006,1,1026651,9299392,0,671494,6912261,0,111390,1515469,0,,,0,1810411,17735761,0
0,State Level Adjustment,GA,2006,1,161649,1912236,0,53943,680286,0,30343,630395,0,,,0,245936,3222917,0
3408,Chattanooga City of,GA,2006,1,1035,14593,9673,337,4247,1367,120,1906,3,0,0,0,1492,20746,11043
3916,Cobb Electric Membership Corp,GA,2006,1,16673,190469,171821,7246,88156,19679,971,21705,43,0,0,0,24890,300330,191543
7140,Georgia Power Co,GA,2006,1,156929,2081305,1836693,175602,2458340,274265,95968,2005299,8191,819,15346,1,429318,6560290,2119150
9601,Jackson Electric Member Corp,GA,2006,1,20956,257443,174883,9437,107676,17070,2481,47555,80,,,,32874,412674,192033
16687,Savannah Electric & Power Co,GA,2006,1,15913,159196,128403,11100,116544,19314,3439,62710,85,0,0,0,30452,338450,147802
88888,Total EPM,GA,2006,1,373155,4615242,0,257665,3455249,0,133322,2769570,0,,,0,764962,10855407,0
0,State Level Adjustment,HI,2006,1,-27,0,0,-26,0,0,-15,0,0,,,0,-68,1,0
8287,Hawaii Electric Light Co Inc,HI,2006,1,11759,38695,60956,11089,37645,13058,4923,19537,61,0,0,0,27771,95877,74075
10071,Kauai Island Utility Cooperative,HI,2006,1,4256,13966,25813,3241,10398,4621,4010,14064,200,0,0,0,11507,38428,30634
11843,Maui Electric Co Ltd,HI,2006,1,10089,38398,54111,8785,32858,9696,7650,32924,135,0,0,0,26524,104180,63942
