UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MWh),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
0,State Level Adjustment,AK,2007R,1,5766,24179,0,7398,30009,0,1385.504,7829.663,0,,,0,14549.504,62017.663,0
213,Alaska Electric Light&Power Co,AK,2007R,1,1479,14609,13602,981,11953,2118,390.496,5260.337,99,0,0,0,2850.496,31822.337,15819
219,Alaska Power Co,AK,2007R,1,605,2282,4456,803,3397,2000,0,0,0,0,0,0,1408,5679,6456
599,Anchorage Municipal Light and Power,AK,2007R,1,1488,16596,23880,5545,87869,6182,0,0,0,0,0,0,7033,104465,30062
1651,Bethel Utilities Corp,AK,2007R,1,489,1180,1563,1171,2979,1121,0,0,0,0,0,0,1660,4159,2684
3522,Chugach Electric Assn Inc,AK,2007R,1,8334,59888,69528,6465,55462,8726,597,6075,6,0,0,0,15396,121425,78260
7353,Golden Valley Elec Assn Inc,AK,2007R,1,5624,37554,36026,2161,15274,5998,8161,68149,460,0,0,0,15946,120977,42484
10210,Ketchikan Public Utilities,AK,2007R,1,676,6813,6113,574,6330,1116,154,1931,14,0,0,0,1404,15074,7243
10433,Kodiak Electric Assn Inc,AK,2007R,1,596,3297,4625,349,1996,1063,1149,6999,93,0,0,0,2094,12292,5781
10451,Kotzebue Electric Assn Inc,AK,2007R,1,463,1255,1237,312,882,34,0,0,0,0,0,0,775,2137,1271
11824,Matanuska Electric Assn Inc,AK,2007R,1,6978,52810,49168,2840,25237,3377,0,0,0,0,0,0,9818,78047,52545
19277,TDX North Slope Generating Co,AK,2007R,1,0,0,0,647,4083,64,0,0,0,0,0,0,647,4083,64
19558,Homer Electric Assn Inc,AK,2007R,1,2348,18135,23422,1844,15947,3564,898,12785,27,0,0,0,5090,46867,27013
88888,Total EPM,AK,2007R,1,34846,238598,0,31090,261418,0,12735,109029,0,,,0,78671,609045,0
0,State Level Adjustment,AL,2007R,1,72647,821461,0,33963,409590,0,19193,329335,0,,,0,125803,1560387,0
195,Alabama Power Co,AL,2007R,1,138575,1575795,1196969,98204,1176649,215381,86746,1859372,5761,0,0,0,323525,4611816,1418111
4958,Decatur Utilities,AL,2007R,1,2066,30150,22518,1769,24016,3880,3014,63158,20,0,0,0,6849,117324,26418
6422,Florence City of,AL,2007R,1,4046,53752,39044,698,7803,6771,2495,35177,720,0,0,0,7239,96732,46535
9094,Huntsville City of,AL,2007R,1,14682,207432,132919,8934,124181,18838,4991,88391,105,0,0,0,28607,420004,151862
9739,Joe Wheeler Elec Member Corp,AL,2007R,1,4497,54431,34057,1910,20307,7979,1728,31156,19,0,0,0,8135,105894,42055
17252,Singing River Elec Pwr Assn,AL,2007R,1,35,346,292,4,53,20,0,0,0,0,0,0,39,399,312
18642,Tennessee Valley Authority,AL,2007R,1,0,0,0,0,0,0,19899,529103,22,0,0,0,19899,529103,22
88888,Total EPM,AL,2007R,1,236548,2743367,0,145482,1762599,0,138066,2935692,0,,,0,520096,7441659,0
0,State Level Adjustment,AR,2007R,1,34603,416873,0,14224,197356,0,25743,527126,0,,,0,74571,1141355,0
814,Entergy Arkansas Inc,AR,2007R,1,61343,687787,575082,34580,467257,86070,34374,578540,20394,0,0,0,130297,1733584,681546
817,Arkansas Valley Elec Coop Corp,AR,2007R,1,4771,63130,47643,790,11768,3366,862,19940,12,0,0,0,6423,94838,51021
3093,Carroll Electric Coop Corp,AR,2007R,1,7946,106711,68200,1681,26899,4762,934,19909,16,0,0,0,10561,153519,72978
5860,Empire District Electric Co,AR,2007R,1,314,3389,3609,212,2580,749,377,6129,8,0,0,0,903,12098,4366
6342,First Electric Coop Corp,AR,2007R,1,9003,94529,75051,1220,12038,4655,1418,29661,450,0,0,0,11641,136228,80156
14063,Oklahoma Gas & Electric Co,AR,2007R,1,3198,69213,53028,3685,63697,9784,4113,95692,445,0,0,0,10996,228602,63257
17698,Southwestern Electric Power Co,AR,2007R,1,6262,105108,94615,5092,105433,16606,5002,130470,788,0,0,0,16356,341011,112009
88888,Total EPM,AR,2007R,1,127440,1546740,0,61484,887028,0,72823,1407467,0,,,0,261748,3841235,0
