UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
0,Adjustment 2010,AK,2010,1,5889.296,25346.726,30607,7768.547,32303.665,10842,1432.777,7587.714,510,0,0,0,15090.62,65238.105,41959
213,Alaska Electric Light&Power Co,AK,2010,1,1535.941,15011.6,13783,980.665,11721.382,2156,987.54,11255.996,91,0,0,0,3504.146,37988.978,16030
219,Alaska Power and Telephone Co,AK,2010,1,668.02,2319.376,4592,921.903,3261.675,2099,0,0,0,0,0,0,1589.923,5581.051,6691
599,Anchorage Municipal Light and Power,AK,2010,1,1759.777,15111.366,24014,7807.31,87008.534,6284,0,0,0,0,0,0,9567.087,102119.9,30298
1651,Bethel Utilities Corp,AK,2010,1,468,1127,1643,1135,2893,1060,0,0,0,0,0,0,1603,4020,2703
3522,Chugach Electric Assn Inc,AK,2010,1,7333,57329,69482,5576,52475,8979,311,3086,5,0,0,0,13220,112890,78466
7353,Golden Valley Elec Assn Inc,AK,2010,1,7123.804,35320.587,37370,2719.377,14908.882,6465,11507.246,75910.634,459,0,0,0,21350.427,126140.103,44294
10210,Ketchikan Public Utilities,AK,2010,1,743.271,7399.01,6119,557.025,6024.014,1188,127.012,1432.61,13,0,0,0,1427.308,14855.634,7320
10433,Kodiak Electric Assn Inc,AK,2010,1,565,3358,4674,315,1932,1017,1090,7115,100,0,0,0,1970,12405,5791
10451,Kotzebue Electric Assn Inc,AK,2010,1,367,760,1161,491,1050,129,0,0,0,0,0,0,858,1810,1290
11824,Matanuska Electric Assn Inc,AK,2010,1,6454,45312,51818,2597,21990,3651,0,0,0,0,0,0,9051,67302,55469
19277,TDX North Slope Generating Co,AK,2010,1,0,0,0,774,5623,72,0,0,0,0,0,0,774,5623,72
19558,Homer Electric Assn Inc,AK,2010,1,2625.939,17113.653,24872,2190.454,15982.67,3741,772.383,8732.601,26,0,0,0,5588.776,41828.924,28639
88888,Total EPM,AK,2010,1,35533,225508,270135,33833,257174,47683,16228,115121,1204,0,0,0,85594,597803,319022
