UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
0,Adjustment 2012,AK,2012,1," 6,528.80 "," 24,760.20 "," 30,576 "," 9,550.35 "," 33,562.93 "," 11,506 "," 1,970.20 "," 8,489.74 ", 510 , -   , -   , -   ," 18,049.34 "," 66,812.87 "," 42,592 "
213,Alaska Electric Light&Power Co,AK,2012,1," 1,892.09 "," 15,119.15 "," 13,875 "," 1,179.60 "," 11,179.11 "," 2,166 "," 1,001.75 "," 10,986.74 ", 95 , -   , -   , -   ," 4,073.44 "," 37,284.99 "," 16,136 "
219,Alaska Power and Telephone Co,AK,2012,1, 747.20 ," 2,477.96 "," 4,736 ", 928.07 ," 3,281.28 "," 2,123 ", -   , -   , -   , -   , -   , -   ," 1,675.27 "," 5,759.24 "," 6,859 "
599,Anchorage Municipal Light and Power,AK,2012,1," 1,965.98 "," 15,566.63 "," 24,192 "," 8,645.71 "," 87,731.85 "," 6,281 ", -   , -   , -   , -   , -   , -   ," 10,611.70 "," 103,298.48 "," 30,473 "
1651,Bethel Utilities Corp,AK,2012,1, 695.00 ," 1,309.00 "," 1,664 "," 1,540.00 "," 3,024.00 "," 1,024 ", -   , -   , -   , -   , -   , -   ," 2,235.00 "," 4,333.00 "," 2,688 "
3522,Chugach Electric Assn Inc,AK,2012,1," 8,440.00 "," 62,524.00 "," 69,955 "," 6,107.00 "," 54,467.00 "," 9,174 ", 442.00 ," 4,366.00 ", 7 , -   , -   , -   ," 14,989.00 "," 121,357.00 "," 79,136 "
7353,Golden Valley Elec Assn Inc,AK,2012,1," 9,055.14 "," 33,510.47 "," 37,816 "," 3,458.35 "," 13,344.00 "," 6,372 "," 16,653.69 "," 75,047.70 ", 488 , -   , -   , -   ," 29,167.17 "," 121,902.18 "," 44,676 "
10210,Ketchikan Public Utilities,AK,2012,1, 800.69 ," 7,993.35 "," 6,220 ", 610.10 ," 6,620.35 "," 1,222 ", 139.79 ," 1,722.74 ", 12 , -   , -   , -   ," 1,550.58 "," 16,336.44 "," 7,454 "
10433,Kodiak Electric Assn Inc,AK,2012,1, 716.00 ," 3,649.00 "," 4,689 ", 406.00 ," 2,129.00 "," 1,018 "," 1,271.00 "," 6,963.00 ", 100 , -   , -   , -   ," 2,393.00 "," 12,741.00 "," 5,807 "
10451,Kotzebue Electric Assn Inc,AK,2012,1, 360.00 , 830.00 ," 1,151 ", 569.00 ," 1,361.00 ", 129 , -   , -   , -   , -   , -   , -   , 929.00 ," 2,191.00 "," 1,280 "
11824,Matanuska Electric Assn Inc,AK,2012,1," 7,707.00 "," 49,522.00 "," 53,567 "," 3,150.00 "," 23,060.00 "," 3,696 ", -   , -   , -   , -   , -   , -   ," 10,857.00 "," 72,582.00 "," 57,263 "
19277,TDX North Slope Generating Co,AK,2012,1, -   , -   , -   ," 1,032.00 "," 7,767.00 ", 73 , -   , -   , -   , -   , -   , -   ," 1,032.00 "," 7,767.00 ", 73 
19558,Homer Electric Assn Inc,AK,2012,1," 3,654.44 "," 18,662.48 "," 25,765 "," 2,922.74 "," 16,979.10 "," 3,832 ", 916.01 ," 10,725.55 ", 23 , -   , -   , -   ," 7,493.18 "," 46,367.13 "," 29,620 "
88888,Total EPM,AK,2012,1," 42,562.00 "," 235,924.00 "," 274,206 "," 40,099.00 "," 264,507.00 "," 48,616 "," 22,394.00 "," 118,301.00 "," 1,235 ", -   , -   , -   ," 105,056.00 "," 618,732.00 "," 324,057 "
0,Adjustment 2012,AL,2012,1," 90,638.20 "," 817,002.29 "," 665,370 "," 41,508.98 "," 374,025.93 "," 118,647 "," 23,645.34 "," 293,500.29 ", 398 , -   , -   , -   ," 155,792.51 "," 1,484,528.51 "," 784,415 "
195,Alabama Power Co,AL,2012,1," 166,234.00 "," 1,489,524.00 "," 1,231,849 "," 114,372.00 "," 1,092,315.00 "," 196,571 "," 95,882.00 "," 1,798,958.00 "," 5,842 ", -   , -   , -   ," 376,488.00 "," 4,380,797.00 "," 1,434,262 "
4958,Decatur Utilities,AL,2012,1," 2,872.00 "," 31,619.00 "," 22,267 "," 2,160.00 "," 21,936.00 "," 3,945 "," 2,749.00 "," 45,393.00 ", 21 , -   , -   , -   ," 7,781.00 "," 98,948.00 "," 26,233 "
6422,City of Florence - (AL),AL,2012,1," 5,941.67 "," 61,886.29 "," 39,623 "," 3,290.33 "," 31,548.95 "," 7,473 ", 966.81 ," 12,591.89 ", 743 , -   , -   , -   ," 10,198.82 "," 106,027.13 "," 47,839 "
9094,City of Huntsville - (AL),AL,2012,1," 22,662.00 "," 241,839.00 "," 147,843 "," 12,646.00 "," 136,018.00 "," 20,486 "," 6,165.00 "," 82,956.00 ", 121 , -   , -   , -   ," 41,473.00 "," 460,813.00 "," 168,450 "
9739,Joe Wheeler Elec Member Corp,AL,2012,1," 5,892.00 "," 56,176.00 "," 34,702 "," 2,333.00 "," 19,885.00 "," 8,179 "," 3,453.00 "," 55,140.00 ", 24 , -   , -   , -   ," 11,678.00 "," 131,201.00 "," 42,905 "
17252,Singing River Elec Pwr Assn,AL,2012,1, 39.50 , 332.41 , 367 , 6.00 , 50.04 , 19 , -   , -   , -   , -   , -   , -   , 45.49 , 382.44 , 386 
18642,Tennessee Valley Authority,AL,2012,1, -   , -   , -   , -   , -   , -   ," 25,618.00 "," 487,082.00 ", 12 , -   , -   , -   ," 25,618.00 "," 487,082.00 ", 12 
88888,Total EPM,AL,2012,1," 294,279.00 "," 2,698,379.00 "," 2,142,021 "," 176,316.00 "," 1,675,779.00 "," 355,320 "," 158,479.00 "," 2,775,621.00 "," 7,161 ", -   , -   , -   ," 629,075.00 "," 7,149,779.00 "," 2,504,502 "
0,Adjustment 2012,AR,2012,1," 41,016.31 "," 455,997.66 "," 384,497 "," 17,980.40 "," 209,089.32 "," 47,809 "," 16,878.87 "," 240,341.62 "," 8,303 ", 3.34 , 29.20 , 1 ," 75,878.91 "," 905,457.80 "," 440,610 "
814,Entergy Arkansas Inc,AR,2012,1," 63,885.42 "," 751,467.86 "," 583,024 "," 35,644.50 "," 479,926.92 "," 89,724 "," 31,256.17 "," 532,041.00 "," 19,992 ", 1.21 , 13.60 , 1 ," 130,787.30 "," 1,763,449.38 "," 692,741 "
817,Arkansas Valley Elec Coop Corp,AR,2012,1," 6,082.00 "," 66,824.00 "," 49,308 ", 887.00 ," 11,894.00 "," 3,496 "," 1,135.00 "," 20,381.00 ", 14 , -   , -   , -   ," 8,104.00 "," 99,099.00 "," 52,818 "
3093,Carroll Electric Coop Corp - (AR),AR,2012,1," 7,623.00 "," 97,590.00 "," 71,769 "," 1,544.00 "," 25,055.00 "," 5,073 "," 1,072.00 "," 22,444.00 ", 29 , -   , -   , -   ," 10,239.00 "," 145,089.00 "," 76,871 "
5860,Empire District Electric Co,AR,2012,1, 378.90 ," 3,753.08 "," 3,571 ", 242.29 ," 2,834.84 ", 755 , 378.71 ," 5,875.66 ", 10 , -   , -   , -   , 999.91 ," 12,463.58 "," 4,336 "
6342,First Electric Coop Corp,AR,2012,1," 9,342.89 "," 110,788.75 "," 81,410 "," 2,285.71 "," 13,988.42 "," 5,324 "," 1,388.15 "," 31,445.89 ", 689 , -   , -   , -   ," 13,016.75 "," 156,223.06 "," 87,423 "
12681,Mississippi County Electric Co,AR,2012,1, 333.28 ," 6,475.60 "," 3,407 ", 90.57 ," 1,718.27 ", 651 ," 11,450.85 "," 301,268.46 ", 550 , -   , -   , -   ," 11,874.70 "," 309,462.34 "," 4,608 "
14063,Oklahoma Gas & Electric Co,AR,2012,1," 3,929.00 "," 66,089.00 "," 54,401 "," 3,780.00 "," 62,059.00 "," 10,337 "," 3,759.00 "," 90,918.00 ", 414 , -   , -   , -   ," 11,468.00 "," 219,066.00 "," 65,152 "
17698,Southwestern Electric Power Co,AR,2012,1," 7,023.00 "," 100,654.00 "," 95,839 "," 5,659.00 "," 92,960.00 "," 17,424 "," 5,028.00 "," 106,756.00 ", 636 , -   , -   , -   ," 17,710.00 "," 300,370.00 "," 113,899 "
88888,Total EPM,AR,2012,1," 139,614.00 "," 1,659,640.00 "," 1,327,226 "," 68,113.00 "," 899,526.00 "," 180,593 "," 72,347.00 "," 1,351,472.00 "," 30,637 ", 5.00 , 43.00 , 2 ," 280,079.00 "," 3,910,680.00 "," 1,538,458 "
0,Adjustment 2012,AZ,2012,1," 14,972.48 "," 123,184.55 "," 158,666 "," 13,351.07 "," 193,967.34 "," 29,155 "," 5,465.20 "," 92,742.80 "," 3,140 ", -   , -   , -   ," 33,788.75 "," 409,894.69 "," 190,961 "
176,Ajo Improvement Co,AZ,2012,1, 48.98 , 396.00 , 866 , 27.60 , 330.00 , 173 , 10.23 , 91.00 , 1 , -   , -   , -   , 86.81 , 817.00 ," 1,040 "
803,Arizona Public Service Co,AZ,2012,1," 105,273.00 "," 1,008,489.00 "," 1,007,536 "," 78,926.00 "," 834,161.00 "," 122,667 "," 11,986.00 "," 163,404.00 "," 3,728 ", -   , -   , -   ," 196,185.00 "," 2,006,054.00 "," 1,133,931 "
12919,Morenci Water and Electric,AZ,2012,1, 183.18 ," 1,706.56 "," 2,026 ", 117.16 ," 1,332.80 ", 245 ," 5,329.57 "," 145,995.59 ", 2 , -   , -   , -   ," 5,629.91 "," 149,034.95 "," 2,273 "
13314,Navajo Tribal Utility Authority,AZ,2012,1," 1,886.00 "," 20,629.00 "," 27,845 "," 2,207.00 "," 20,319.00 "," 3,414 "," 1,606.00 "," 19,986.00 ", 3 , -   , -   , -   ," 5,699.00 "," 60,934.00 "," 31,262 "
16572,Salt River Project,AZ,2012,1," 75,729.00 "," 811,072.00 "," 872,508 "," 58,375.00 "," 763,144.00 "," 95,348 "," 13,484.00 "," 275,392.00 ", 44 , -   , -   , -   ," 147,588.00 "," 1,849,608.00 "," 967,900 "
19189,Trico Electric Cooperative Inc,AZ,2012,1," 4,308.20 "," 31,016.97 "," 38,515 "," 1,862.72 "," 15,819.50 "," 2,062 ", 206.74 ," 2,013.99 ", 42 , -   , -   , -   ," 6,377.66 "," 48,850.46 "," 40,619 "
19728,"UNS Electric, Inc",AZ,2012,1," 6,303.38 "," 65,733.17 "," 80,702 "," 3,937.47 "," 41,502.73 "," 10,777 "," 2,292.77 "," 27,569.27 ", 22 , -   , -   , -   ," 12,533.62 "," 134,805.16 "," 91,501 "
21538,"Mohave Electric Cooperative, I",AZ,2012,1," 3,468.30 "," 24,835.60 "," 35,216 "," 1,858.90 "," 15,199.30 "," 3,978 ", 761.20 ," 8,562.20 ", 24 , -   , -   , -   ," 6,088.40 "," 48,597.10 "," 39,218 "
24211,Tucson Electric Power Co,AZ,2012,1," 23,751.82 "," 269,039.46 "," 367,245 "," 13,503.67 "," 137,203.68 "," 36,254 "," 14,962.48 "," 257,660.94 ", 635 , -   , -   , -   ," 52,217.97 "," 663,904.08 "," 404,134 "
25866,Ak-Chin Electric Utility Authority,AZ,2012,1, 19.96 , 235.00 , 282 , 134.38 ," 1,744.00 ", 94 , 2.67 , 35.00 , 26 , -   , -   , -   , 157.01 ," 2,014.00 ", 402 
88888,Total EPM,AZ,2012,1," 235,944.00 "," 2,356,337.00 "," 2,591,407 "," 174,301.00 "," 2,024,723.00 "," 304,167 "," 56,107.00 "," 993,453.00 "," 7,667 ", -   , -   , -   ," 466,352.00 "," 5,374,513.00 "," 2,903,241 "
0,Adjustment 2012,CA,2012,1," 38,915.53 "," 384,033.91 "," 704,759 "," 164,375.89 "," 1,687,216.55 "," 137,140 "," 113,210.93 "," 1,244,964.82 "," 5,972 "," 2,121.55 "," 30,547.93 ", 1 ," 318,623.89 "," 3,346,763.21 "," 847,872 "
4390,City of Corona - (CA),CA,2012,1, 37.14 , 233.96 , 470 , 431.93 ," 3,796.42 ", 357 , 217.02 ," 1,994.13 ", 8 , -   , -   , -   , 686.10 ," 6,024.52 ", 835 
9216,Imperial Irrigation District,CA,2012,1," 10,802.00 "," 93,888.00 "," 127,059 "," 11,568.00 "," 107,220.00 "," 20,208 ", 658.00 ," 4,036.00 ", 838 , -   , -   , -   ," 23,028.00 "," 205,144.00 "," 148,105 "
11208,Los Angeles Department of Water & Power,CA,2012,1," 80,520.89 "," 637,185.28 "," 1,271,979 "," 131,435.51 "," 1,087,680.64 "," 184,141 "," 17,595.30 "," 155,333.13 "," 12,094 ", 193.00 ," 1,279.00 ", 2 ," 229,744.70 "," 1,881,478.05 "," 1,468,216 "
12745,Modesto Irrigation District,CA,2012,1," 11,862.68 "," 74,900.98 "," 93,974 "," 8,555.94 "," 67,028.70 "," 19,505 "," 4,695.30 "," 51,313.58 ", 166 , -   , -   , -   ," 25,113.92 "," 193,243.26 "," 113,645 "
14328,Pacific Gas & Electric Co,CA,2012,1," 467,339.21 "," 3,021,676.75 "," 4,604,042 "," 342,869.71 "," 2,814,389.52 "," 643,668 "," 70,571.08 "," 750,925.73 "," 1,041 ", -   , -   , -   ," 880,780.00 "," 6,586,992.00 "," 5,248,751 "
14354,PacifiCorp,CA,2012,1," 5,488.43 "," 42,983.08 "," 35,315 "," 2,714.24 "," 22,750.38 "," 7,709 ", 206.35 ," 1,875.97 "," 1,956 ", -   , -   , -   ," 8,409.02 "," 67,609.43 "," 44,980 "
14534,City of Pasadena - (CA),CA,2012,1," 4,302.67 "," 29,357.94 "," 54,406 "," 8,243.84 "," 60,761.29 "," 8,386 ", -   , -   , -   , 109.63 , 814.21 , 1 ," 12,656.14 "," 90,933.44 "," 62,793 "
16534,Sacramento Municipal Util Dist,CA,2012,1," 54,806.71 "," 447,050.22 "," 531,420 "," 7,067.36 "," 55,528.60 "," 55,549 "," 38,511.03 "," 368,989.10 "," 13,104 ", 248.59 ," 2,603.28 ", 1 ," 100,633.69 "," 874,171.20 "," 600,074 "
16609,San Diego Gas & Electric Co,CA,2012,1," 123,972.10 "," 711,730.48 "," 1,239,390 "," 82,330.66 "," 564,209.15 "," 149,833 "," 19,108.21 "," 160,000.60 ", 471 , 601.00 ," 8,260.00 ", 4 ," 226,011.96 "," 1,444,200.23 "," 1,389,698 "
16612,City & County of San Francisco,CA,2012,1, -   , -   , -   ," 5,722.82 "," 72,610.25 "," 1,948 ", 25.92 , 485.86 , 1 , 329.48 ," 8,779.73 ", 1 ," 6,078.21 "," 81,875.83 "," 1,950 "
17609,Southern California Edison Co,CA,2012,1," 417,869.00 "," 2,505,696.00 "," 4,294,771 "," 336,378.00 "," 2,853,227.00 "," 573,300 "," 52,699.00 "," 574,476.00 "," 32,961 ", 557.00 ," 4,266.00 ", 1 ," 807,503.00 "," 5,937,665.00 "," 4,901,033 "
17612,Bear Valley Electric Service,CA,2012,1," 2,151.67 "," 8,169.09 "," 21,860 ", 989.66 ," 2,927.25 "," 1,503 ", 455.78 ," 2,162.58 ", 10 , -   , -   , -   ," 3,597.11 "," 13,258.92 "," 23,373 "
18260,Surprise Valley Electrificatio,CA,2012,1, 310.20 ," 4,349.55 "," 2,834 ", 73.35 , 990.26 , 853 , 29.09 , 320.50 , 753 , -   , -   , -   , 412.65 ," 5,660.31 "," 4,440 "
19281,Turlock Irrigation District,CA,2012,1," 8,669.00 "," 63,025.00 "," 71,907 "," 2,240.00 "," 19,815.00 "," 23,687 "," 6,731.00 "," 69,279.00 "," 3,863 ", -   , -   , -   ," 17,640.00 "," 152,119.00 "," 99,457 "
19840,"Valley Electric Assn, Inc",CA,2012,1, 1.53 , 11.99 , 12 , 0.12 , 0.55 , 2 , 1.80 , 19.88 , 30 , -   , -   , -   , 3.45 , 32.42 , 44 
27000,WAPA-- Western Area Power Administration,CA,2012,1,,,,,,,,,, 12.21 , 375.00 , 1 , 12.21 , 375.00 , 1 
88888,Total EPM,CA,2012,1," 1,227,049.00 "," 8,024,292.00 "," 13,054,198 "," 1,104,997.00 "," 9,420,152.00 "," 1,827,789 "," 324,716.00 "," 3,386,177.00 "," 73,268 "," 4,172.00 "," 56,925.00 ", 12 ," 2,660,934.00 "," 20,887,546.00 "," 14,955,267 "
0,Adjustment 2012,CO,2012,1," 35,040.76 "," 314,114.77 "," 413,821 "," 23,392.87 "," 256,749.23 "," 67,918 "," 22,163.71 "," 323,004.58 "," 8,510 ", (0.01), -   , -   ," 80,597.34 "," 893,868.57 "," 490,249 "
3989,City of Colorado Springs - (CO),CO,2012,1," 15,544.70 "," 138,960.28 "," 187,820 "," 7,488.28 "," 92,614.44 "," 23,416 "," 11,340.54 "," 158,296.95 "," 1,542 ", -   , -   , -   ," 34,373.52 "," 389,871.67 "," 212,778 "
6604,City of Fort Collins - (CO),CO,2012,1," 4,023.05 "," 47,129.06 "," 58,474 "," 2,771.51 "," 41,255.64 "," 7,509 "," 1,795.93 "," 35,399.47 ", 16 , -   , -   , -   ," 8,590.49 "," 123,784.17 "," 65,999 "
9336,Intermountain Rural Elec Assn,CO,2012,1," 16,627.00 "," 140,868.00 "," 128,860 "," 5,466.00 "," 50,139.00 "," 11,942 ", 913.00 ," 11,109.00 ", 76 , -   , -   , -   ," 23,006.00 "," 202,116.00 "," 140,878 "
10066,K C Electric Association,CO,2012,1, 482.00 ," 3,957.00 "," 3,236 ", 669.00 ," 6,073.00 "," 2,320 ", 11.00 , 128.00 , 720 , -   , -   , -   ," 1,162.00 "," 10,158.00 "," 6,276 "
12866,Moon Lake Electric Assn Inc,CO,2012,1, 121.00 ," 2,081.00 "," 1,547 ", 229.00 ," 2,717.00 ", 724 ," 2,440.00 "," 41,353.00 ", 11 , -   , -   , -   ," 2,790.00 "," 46,151.00 "," 2,282 "
15257,"Poudre Valley R  E  A, Inc",CO,2012,1," 3,981.95 "," 37,516.63 "," 30,773 ", 560.87 ," 5,227.42 "," 3,553 "," 3,051.72 "," 38,150.33 ", 985 , -   , -   , -   ," 7,594.53 "," 80,894.37 "," 35,311 "
15466,Public Service Co of Colorado,CO,2012,1," 80,166.23 "," 814,615.00 "," 1,167,758 "," 82,489.48 "," 1,030,181.00 "," 208,595 "," 30,446.91 "," 542,361.00 ", 332 , 419.99 ," 4,791.00 ", 1 ," 193,522.60 "," 2,391,948.00 "," 1,376,686 "
