UTILITY CHARACTERISTICS,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers,Revenue,Sales,Customers
Year,Month,Utility Number,Utility Name,State,Data Status,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2013,1,0,Adjustment 2014,AK,Final,"6,598.015","25,303.990","30,971","9,177.412","33,687.340","11,768","2,065.652","9,197.801",548,0.000,0.000,0,"17,841","68,189","43,287"
2013,1,213,Alaska Electric Light&Power Co,AK,Final,"2,290.654","16,227.499","13,901","1,458.255","12,163.644","2,186",594.351,"5,270.856",94,0.000,0.000,0,"4,343","33,662","16,181"
2013,1,219,Alaska Power and Telephone Co,AK,Final,738.549,"2,449.644","4,745",891.519,"3,234.237","2,126",0.000,0.000,0,0.000,0.000,0,"1,630","5,684","6,871"
2013,1,599,Anchorage Municipal Light and Power,AK,Final,"1,632.122","14,825.838","24,423","6,906.278","83,380.947","6,364",0.000,0.000,0,0.000,0.000,0,"8,538","98,207","30,787"
2013,1,1651,Bethel Utilities Corp,AK,Final,574.107,"1,052.715","1,692","1,413.971","2,691.259",975,0.000,0.000,0,0.000,0.000,0,"1,988","3,744","2,667"
2013,1,3522,Chugach Electric Assn Inc,AK,Final,"8,276.000","59,276.000","69,548","6,202.000","52,803.000","9,176",476.000,"4,667.000",6,0.000,0.000,0,"14,954","116,746","78,730"
2013,1,7353,Golden Valley Elec Assn Inc,AK,Final,"7,179.504","32,834.554","38,017","2,798.473","13,530.159","6,318","13,437.976","80,883.239",503,0.000,0.000,0,"23,416","127,248","44,838"
2013,1,10210,Ketchikan Public Utilities,AK,Final,818.602,"8,176.379","6,220",648.242,"7,037.551","1,213",160.108,"2,003.508",13,0.000,0.000,0,"1,627","17,217","7,446"
2013,1,10433,Kodiak Electric Assn Inc,AK,Final,628.000,"3,544.000","4,699",349.000,"2,026.000","1,038","1,085.000","6,578.000",105,0.000,0.000,0,"2,062","12,148","5,842"
2013,1,10451,Kotzebue Electric Assn Inc,AK,Final,302.000,728.000,"1,147",481.000,"1,221.000",126,0.000,0.000,0,0.000,0.000,0,783,"1,949","1,273"
2013,1,11824,Matanuska Electric Assn Inc,AK,Final,"7,641.000","51,368.000","54,397","3,094.000","24,471.000","3,735",0.000,0.000,0,0.000,0.000,0,"10,735","75,839","58,132"
2013,1,19277,TDX North Slope Generating Co,AK,Final,0.000,0.000,0,"1,060.000","5,423.000",74,0.000,0.000,0,0.000,0.000,0,"1,060","5,423",74
2013,1,19558,Homer Electric Assn Inc,AK,Final,"3,523.749","19,039.898","25,969","2,704.642","16,616.883","3,969",977.599,"12,023.886",23,0.000,0.000,0,"7,206","47,681","29,961"
2013,1,88888,Total EPM,AK,Final,"40,202.302","234,826.517","275,729","37,184.792","258,286.020","49,068","18,796.686","120,624.290","1,292",0.000,0.000,0,"96,184","613,737","326,089"
2013,1,0,Adjustment 2014,AL,Final,"92,659.068","871,678.487","667,901","41,841.737","408,865.040","120,802","18,827.123","264,392.990",305,0.000,0.000,0,"153,328","1,544,937","789,008"
2013,1,195,Alabama Power Co,AL,Final,"173,883.000","1,550,826.000","1,237,845","115,550.000","1,096,576.000","196,572","99,574.000","1,851,664.000","5,848",0.000,0.000,0,"389,007","4,499,066","1,440,265"
2013,1,4958,Decatur Utilities,AL,Final,"3,052.000","33,148.000","22,474","2,597.000","26,561.000","3,994","2,415.000","41,156.000",10,0.000,0.000,0,"8,064","100,865","26,478"
2013,1,6422,City of Florence - (AL),AL,Final,"6,545.191","67,458.533","39,925","3,557.946","34,163.435","7,618","1,002.116","13,044.221",760,0.000,0.000,0,"11,105","114,666","48,303"
2013,1,9094,City of Huntsville - (AL),AL,Final,"23,828.000","250,531.000","149,183","15,802.000","171,650.000","20,742","2,798.000","40,000.000",21,0.000,0.000,0,"42,428","462,181","169,946"
2013,1,9739,Joe Wheeler Elec Member Corp,AL,Final,"5,980.000","55,874.000","34,673","2,679.000","22,740.000","8,203","3,368.000","54,512.000",15,0.000,0.000,0,"12,027","133,126","42,891"
2013,1,17252,Singing River Elec Pwr Assn,AL,Final,44.292,381.855,308,5.864,50.797,20,0.000,0.000,0,0.000,0.000,0,50,433,328
