"Barry"
"https://www.eia.gov/beta/electricity/data/browser/#/plant/3?freq=M&start=202001&end=202412&ctype=linechart&ltype=sourcekey&tab=generation&columnchart=ELEC.PLANT.GEN.3-ALL-ALL.M&maptype=0&pin=&linechart=ELEC.PLANT.GEN.3-ALL-ALL.M~ELEC.PLANT.GEN.3-ANT-ALL.M~ELEC.PLANT.GEN.3-BIT-ALL.M~ELEC.PLANT.GEN.3-DFO-ALL.M~ELEC.PLANT.GEN.3-JF-ALL.M~ELEC.PLANT.GEN.3-KER-ALL.M~ELEC.PLANT.GEN.3-LIG-ALL.M~ELEC.PLANT.GEN.3-NG-ALL.M~ELEC.PLANT.GEN.3-PC-ALL.M~ELEC.PLANT.GEN.3-RC-ALL.M~ELEC.PLANT.GEN.3-RFO-ALL.M~ELEC.PLANT.GEN.3-SC-ALL.M~ELEC.PLANT.GEN.3-SUB-ALL.M~ELEC.PLANT.GEN.3-WC-ALL.M~ELEC.PLANT.GEN.3-NG-CA.M~ELEC.PLANT.GEN.3-DFO-CT.M~ELEC.PLANT.GEN.3-NG-CT.M~ELEC.PLANT.GEN.3-SUB-CT.M~ELEC.PLANT.GEN.3-ANT-ST.M~ELEC.PLANT.GEN.3-BIT-ST.M~ELEC.PLANT.GEN.3-DFO-ST.M~ELEC.PLANT.GEN.3-JF-ST.M~ELEC.PLANT.GEN.3-KER-ST.M~ELEC.PLANT.GEN.3-LIG-ST.M~ELEC.PLANT.GEN.3-NG-ST.M~ELEC.PLANT.GEN.3-PC-ST.M~ELEC.PLANT.GEN.3-RC-ST.M~ELEC.PLANT.GEN.3-RFO-ST.M~ELEC.PLANT.GEN.3-SC-ST.M~ELEC.PLANT.GEN.3-SUB-ST.M~ELEC.PLANT.GEN.3-WC-ST.M"
"Fri Mar 13 2026 11:00:01 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
" ","units","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024"
"Barry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation","megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All primemovers (ALL)","megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation-all primemovers-all fuels","megawatthours","--",720542,814792,950010,780407,961355,1073592,1125878,1092049,1073148,1074502,832871,791506,830711,816191,923547,1084504,1104910,1260537,1272982,1051582,715283,947985,992548,979567,970433,1061344,892470,885078,1198675,1113962,1013619,896041,1017959,863938,1001333,"--",697192,678281,553520,652416,1072518,1197810,906092,562675,520102,641397,1193793,1323205,1129793,1023825,973861,1118805,1265922,1368543,1257560,1186965,1445136,1033962,928292
"Net generation-all primemovers-anthracite coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-bituminous coal","megawatthours","--",-152,71191,266681,165800,189365,331356,350105,347191,424258,335570,144471,0,182175,353695,298537,360892,355929,481810,473355,491348,71862,251627,357169,206902,375214,374403,202101,342225,384635,374914,266178,175615,222251,248535,141529,"--",6426,224249,81487,197857,339672,317431,204613,110554,46716,0,0,74700,-4538,0,83997,0,75098,114680,0,20325,322168,11098,0
"Net generation-all primemovers-distillate fuel oil","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-jet fuel","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-kerosene","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Net generation-all primemovers-lignite coal","megawatthours","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
